Jul 01 18:57:17 <kushal>	<--CLASS STARTED -->
Jul 01 20:21:20 <kushal>	Num_Lock3d, are you Stefan^ ?
Jul 01 20:21:26 <Num_Lock3d>	yes
Jul 01 20:21:32 <Num_Lock3d>	my connection timed out
Jul 01 20:21:34 <kushal>	then ask your question 
Jul 01 20:21:34 <mbuf>	Num_Lock3d, shoot your question!
Jul 01 20:22:15 *	amrita (n=amrita@117.201.98.46) has joined #dgplug
Jul 01 20:22:29 <rtnpro_>	!
Jul 01 20:22:38 <mbuf>	ecntrk, shoot!
Jul 01 20:22:51 <Num_Lock3d>	how can we view thÃ© contents of initrd ?
Jul 01 20:22:53 <ecntrk>	ï»¿mbuf, What are the most essential skills to be a Able FS Programer?
Jul 01 20:23:13 *	Subhodip (n=subhodip@125.20.11.34) has joined #dgplug
Jul 01 20:23:28 *	Num_Lock3d is now known as Stefan_^
Jul 01 20:23:31 <mbuf>	Num_Lock3d, you need to dd /dev/ramXY, dump the initrd to RAM, and mount it with -o loop
Jul 01 20:23:52 <mbuf>	ecntrk, that is too generic a question;
Jul 01 20:23:55 <Stefan_^>	can't we ungzip it ?
Jul 01 20:23:56 <ecntrk>	Actually I think i'm good at so called bookish knowledge og C, C++...
Jul 01 20:24:12 <Stefan_^>	I heard that its actually Ã¡ gzipped image...
Jul 01 20:24:21 <rtnpro_>	!
Jul 01 20:24:22 Soumya Stefan^ Stefan_^ Subhodip sumitc susenj 
Jul 01 20:24:24 <ecntrk>	But you know, i'm feeling that there got to be more things, I need to brush up..
Jul 01 20:24:30 <Stefan_^>	Ã¡nd initramd is Ã¡ cpio one
Jul 01 20:24:32 <mbuf>	ecntrk, bookish knowledge doesn't sell
Jul 01 20:24:36 <kushal>	Stefan^, please try to stay in the class 
Jul 01 20:24:48 <mbuf>	Stefan^, read: http://lxr.linux.no/linux/Documentation/filesystems/ramfs-rootfs-initramfs.txt
Jul 01 20:25:05 <mbuf>	ecntrk, there is a lot of difference between theory and practicals
Jul 01 20:25:08 <mbuf>	rtnpro_, shoot!
Jul 01 20:25:11 <ecntrk>	I now that, mbuf...
Jul 01 20:25:33 <rtnpro_>	How do we take part in debugging?
Jul 01 20:25:39 <ecntrk>	I just wanted some specifird answer from you...<eof>
Jul 01 20:25:46 <rtnpro_>	What are the prerequisites?
Jul 01 20:26:02 <rtnpro_>	What are the tools required?<EOF>
Jul 01 20:26:17 <mbuf>	rtnpro_, to begin with you can use gdb; but,  logical reasoning comes with your interest in solving puzzles
Jul 01 20:26:51 <rtnpro_>	mbuf, what is gdb?
Jul 01 20:27:15 <mbuf>	ecntrk, start working on projects, and writing code; can't judget anything based on bookish know-how though
Jul 01 20:27:15 <rtnpro_>	mbuf, Let me do a google
Jul 01 20:27:20 <mbuf>	rtnpro_, better :)
Jul 01 20:27:52 <rtnpro_>	mbuf, ok ...Got it...Thanks
Jul 01 20:28:12 *	rangeen (i=sherry@61.2.163.9) has joined #dgplug
Jul 01 20:28:16 <mbuf>	any other questions?
Jul 01 20:28:17 <sumitc>	!
Jul 01 20:28:23 <mbuf>	sumitc, shoot!
Jul 01 20:28:29 <ecntrk>	Thanks , mbuf<eof>
Jul 01 20:28:41 <sumitc>	while doing FS projects, you mentioned about having a mentor
Jul 01 20:29:01 <mbuf>	sumitc, not necessarily; it could be a team as well
Jul 01 20:29:07 <sumitc>	Why is it important to have a mentor while doing a project?
Jul 01 20:29:26 <sumitc>	How exactly can a mentor help?
Jul 01 20:29:27 <mbuf>	sumitc, that are part of a project
Jul 01 20:29:37 <mbuf>	sumitc, some people like one-to-one correspondence
Jul 01 20:30:40 <mbuf>	sumitc, like personal tutoring; but, again, it depends on how much time the Mentor can provide
Jul 01 20:31:01 <mbuf>	sumitc, but, I'd prefer people to work in FS team projects, so you get to interact with lot of people
Jul 01 20:31:33 <mbuf>	<EOF>
Jul 01 20:31:39 <amrita>	mbuf, !
Jul 01 20:31:42 <sumitc>	<eof>
Jul 01 20:31:48 <mbuf>	amrita, shoot!
Jul 01 20:32:27 <amrita>	mbuf, what are the duties or work of a team leader other than the members?
Jul 01 20:32:48 *	rangeen has quit (Client Quit)
Jul 01 20:33:21 <mbuf>	amrita, there is no strict hierarcy as such in FS teams;
Jul 01 20:33:47 <mbuf>	amrita, usually the biggest *contributor* becomes Maintainer of code, and you have developers who submit code/patch to him/her
Jul 01 20:34:12 <mbuf>	amrita, only in corporate, formal structures people do politics with hierarchy
Jul 01 20:34:20 <amrita>	mbuf, in industries?
Jul 01 20:34:32 <mbuf>	amrita, yes, and it is quite prevalent in India
Jul 01 20:34:44 <mbuf>	amrita, in the FS world, technicality is given more credibility, and hence, is valued more
Jul 01 20:35:09 <sumitc>	!
Jul 01 20:35:15 *	Stefan^ has quit (Read error: 110 (Connection timed out))
Jul 01 20:35:18 <mbuf>	amrita, so it doesn't matter if you have less Industry experience than others; if you are technically solid in whatever you are working on, you can be the Maintainer/Technical Lead/Architect for the project
Jul 01 20:35:19 *	ecntrk (n=ecntrk@117.194.1.62) has left #dgplug
Jul 01 20:35:43 <mbuf>	amrita, the Freedom you get in the FS world is what makes these people work towards it!
Jul 01 20:35:50 <mbuf>	amrita, <EOF>
Jul 01 20:35:52 <mbuf>	sumitc, shoot!
Jul 01 20:35:59 <sumitc>	Do you really think what we are taught in colleges are irrelevant when it comes to practical life?
Jul 01 20:36:02 <amrita>	mbuf, thanks
Jul 01 20:36:41 <mbuf>	sumitc, 100% yes, from my experience
Jul 01 20:37:21 <mbuf>	sumitc, even theory is not taught properly, why talk about practicality?
Jul 01 20:37:25 <mbuf>	sumitc, read: http://www.shakthimaan.com/downloads/glv/shakthimaan-paper/shakthimaan-paper.pdf
Jul 01 20:37:33 <mbuf>	sumitc, read: http://www.shakthimaan.com/downloads/glv/shakthimaan-paper/shakthimaan-paper-presentation.pdf
Jul 01 20:37:37 <sumitc>	ok, thanks
Jul 01 20:37:45 <sumitc>	I needed to know that
Jul 01 20:37:49 <sumitc>	<eof>
Jul 01 20:38:02 <mbuf>	sumitc, I have never seen anyone argue against it; so I accept that everyone has agreed to it
Jul 01 20:38:37 <Prakhar>	!
Jul 01 20:38:55 <sumitc>	that means i need to put in an extra effort to be in tune with the industry/FoSS world, is it?
Jul 01 20:38:57 *	deepakBCREC__ (n=chatzill@125.20.11.34) has joined #dgplug
Jul 01 20:38:59 *	deepakBCREC__ is now known as deepakBCREC
Jul 01 20:39:32 <deepakBCREC>	deepakBCREC, /nick deepak
Jul 01 20:39:50 *	deepakBCREC (n=chatzill@125.20.11.34) has left #dgplug
Jul 01 20:39:51 <mbuf>	sumitc, yes
Jul 01 20:39:55 <mbuf>	Prakhar, shoot!
Jul 01 20:40:05 *	deepakBCREC (n=chatzill@125.20.11.34) has joined #dgplug
Jul 01 20:40:24 <Prakhar>	i think this kind of procedure is followed only in India, right?
Jul 01 20:40:32 <mbuf>	sumitc, you cannot get back the time whatever you have used so far; so you have to put even more effort to catch up with others
Jul 01 20:41:02 <sumitc>	got it, thanks
Jul 01 20:41:03 <mbuf>	Prakhar, what procedure?
Jul 01 20:41:05 <sumitc>	<eof>
Jul 01 20:41:45 *	deepakBCREC__ (n=chatzill@125.20.11.34) has joined #dgplug
Jul 01 20:41:45 <Prakhar>	the teaching procedure which disables students from entering new avenues
Jul 01 20:42:17 <mbuf>	Prakhar, the way I see it is, you take the college/university, staff, your fellow students out of the equation
Jul 01 20:42:41 *	sumitc has quit ("ChatZilla 0.9.82.1 [Firefox 3.0/2008060309]")
Jul 01 20:42:46 <mbuf>	Prakhar, if you don't eat food, you are going to starve; why do you expect others to feed you? that is what i meant by "Hunger for knowledge"
Jul 01 20:42:58 <Prakhar>	yes, right
Jul 01 20:43:16 <mbuf>	Prakhar, if you have the drive, motivation, initiative to use a GNU/Linux system, you can learn whatever you want, from application development, to tools, middleware, operating systems, device drivers and what not!
Jul 01 20:43:37 <mbuf>	Prakhar, so, the point I am trying to make is that your future is in your hands;
Jul 01 20:43:51 <Prakhar>	right, I'm also an engineering student and I have seen the way subjects are handled. i completely agree with you.
Jul 01 20:43:54 <mbuf>	Prakhar, unfortunately, people use others as an excuse
Jul 01 20:44:14 *	sumitc (n=chatzill@unaffiliated/sumitc) has joined #dgplug
Jul 01 20:44:18 <mbuf>	Prakhar, it doesn't help in the long run because, end of the day, you don't learn anything, it is you who is going to suffer
Jul 01 20:44:33 <mbuf>	Prakhar, by 'you' I didn't mean you; I meant "engineering students"
Jul 01 20:44:39 <sumitc>	!
Jul 01 20:44:41 <Prakhar>	yes, this is one the favorite topics
Jul 01 20:44:48 <Prakhar>	absolutely right
Jul 01 20:44:49 <mbuf>	sumitc, shoot!
Jul 01 20:44:52 <Prakhar>	thanks
Jul 01 20:44:56 <Prakhar>	<eof>
Jul 01 20:45:08 <sumitc>	Is there any way I can earn a living by contributing to the FS world?
Jul 01 20:45:30 <mbuf>	sumitc, most companies use Free Software; they just like others, don't know it is Free Software
Jul 01 20:45:41 <mbuf>	sumitc, but, everyone uses it; they just don't go announcing it, that is all
Jul 01 20:46:06 <amrita>	mbuf, !
Jul 01 20:46:07 <mbuf>	sumitc, some companies openly announce, or even sponsor Free Software conferences, as a means of attracting developers, and a way of giving back to the Community
Jul 01 20:46:19 <mbuf>	amrita, shoot!
Jul 01 20:46:21 <sumitc>	thats good
Jul 01 20:46:25 <sumitc>	<eof>
Jul 01 20:46:47 <amrita>	mbuf, what is the application of graphics or art in the industries?
Jul 01 20:47:00 *	mbuf these questions, and answers can be put up as FAQ in the dgplug wiki site :)
Jul 01 20:47:16 *	kushal is talking the charge 
Jul 01 20:47:23 <kushal>	* taking 
Jul 01 20:47:35 <mbuf>	amrita, unfortunately i don't work on those lines; but, there are good Free Software tools that you can use like Gimp, Scribus, Blender, et. al. that you can use
Jul 01 20:47:43 <kushal>	but only after the whole course 
Jul 01 20:47:54 <mbuf>	amrita, BTW, these are very powerful and widely used
Jul 01 20:48:10 <mbuf>	amrita, Inkscape as well
Jul 01 20:48:51 <kushal>	amrita, are you asking about where they use art/graphics ?
Jul 01 20:49:30 <amrita>	kushal, i meant do they have importance very much?
Jul 01 20:49:40 <mbuf>	amrita, yes, yes! they are widely used
Jul 01 20:50:18 <mbuf>	because there is no single entity that represents these projects, and everyone uses it, people don't bother to advertise it
Jul 01 20:50:20 <amrita>	kushal, except the logos or posters
Jul 01 20:51:13 *	sumitc has quit ("ChatZilla 0.9.82.1 [Firefox 3.0/2008060309]")
Jul 01 20:51:14 <mbuf>	amrita, there are lot of music/movie-creation software as well for FLOSS
Jul 01 20:51:22 <mbuf>	any other questions?
Jul 01 20:51:33 <amrita>	mbuf, ok
Jul 01 20:51:40 *	sumitc (n=chatzill@unaffiliated/sumitc) has joined #dgplug
Jul 01 20:52:42 <amrita>	mbuf, !
Jul 01 20:52:42 <mbuf>	Ok, we will stop here.
Jul 01 20:52:53 <mbuf>	amrita, ok, shoot!
Jul 01 20:53:12 *	mbuf appreciates the "Hunger for Knowledge"
Jul 01 20:53:15 <amrita>	everyone from it branch may not be good at programming
Jul 01 20:53:34 <amrita>	so what other work they could get?
Jul 01 20:53:40 <mbuf>	amrita, who said IT is all about programming?
Jul 01 20:54:14 <amrita>	but its given the greater importance
Jul 01 20:54:22 <mbuf>	amrita, by whom?
Jul 01 20:54:48 <amrita>	not by anyone
Jul 01 20:55:11 <mbuf>	amrita, you define what is important to you; you do what you feel like; you work on projects that interest you
Jul 01 20:55:13 <amrita>	but our faculty members gives stress on it
Jul 01 20:56:01 <mbuf>	amrita, end of the day what does that translate to?
Jul 01 20:56:28 <amrita>	sorry "what "means?
Jul 01 20:57:21 <mbuf>	amrita, have people asked questions on "Why faculty members have not done research projects?", "Why they haven't attended International conferences"? "What new software they have written?"
Jul 01 20:57:42 *	deepakBCREC_ has quit (Read error: 110 (Connection timed out))
Jul 01 20:57:49 <mbuf>	amrita, "What new papers they have published, and where?", "If they don't work in the Industry, why they emphasis on all these?"
Jul 01 20:58:24 <mbuf>	amrita, you can count such dedicated people
Jul 01 20:58:41 <mbuf>	amrita, the point is, you need to see the bigger picture of the world;
Jul 01 20:59:00 <mbuf>	amrita, there is something called OPV (Other Peoples' View); before you come to any conclusion, you have to get opinion from different people
Jul 01 20:59:46 <mbuf>	amrita, I suggest you read the presentation and paper that I gave the link to earlier
Jul 01 21:00:19 *	deepakBCREC has quit (Read error: 110 (Connection timed out))
Jul 01 21:00:20 <amrita>	mbuf, ok
Jul 01 21:00:32 <mbuf>	<EOF>
Jul 01 21:00:42 <kushal>	Roll Call
Jul 01 21:00:55 <ria>	ria das
Jul 01 21:00:56 <Prakhar>	Prakhar Agarwal
Jul 01 21:00:57 <aritra>	Aritra Bose
Jul 01 21:00:58 <pushkal>	Pushkal Srivastava
Jul 01 21:01:00 <sumitc>	Sumit Chakraborty
Jul 01 21:01:03 <amrita>	amrita mukherjee
Jul 01 21:01:08 <Kishan_>	Kishan Goyal
Jul 01 21:01:08 <mavu_>	satya komaragiri
Jul 01 21:01:13 <TanmayaT>	Tanmaya Tewari
Jul 01 21:01:16 >mbuf<	thank you again :)
Jul 01 21:01:25 <arpita>	arpita kapoor
Jul 01 21:01:31 <Debashree>	debashree banerjee
Jul 01 21:02:02 *	PraMS (n=chatzill@125.20.11.34) has joined #dgplug
Jul 01 21:02:18 <kushal>	anyone else ?
Jul 01 21:02:49 <kushal>	<--CLASS OVER-->
