Jun 29 22:45:51 <kushal>	<-- CLASS STARTED -->
Jun 30 00:09:17 <roni>	pushkal, http://pastebin.com/m2360d687
Jun 30 00:09:51 <kushal>	roni, talk in pm please 
Jun 30 00:10:03 <roni>	ok
Jun 30 00:10:09 <arpita>	sqroot of 9 is showing 0
Jun 30 00:10:21 <kushal>	arpita, yes, and _pjp_1 asked why ? 
Jun 30 00:10:21 <roni>	^^^^^^
Jun 30 00:10:51 <susenj>	sqrt takes float/double as an argumebt
Jun 30 00:10:57 <susenj>	*argument
Jun 30 00:11:16 *	Debashree has quit (Read error: 104 (Connection reset by peer))
Jun 30 00:11:30 <t4num0y_cs3>	sqrt takes only double...
Jun 30 00:11:33 <ria>	something related to string _pjp_1
Jun 30 00:11:56 <_pjp_1>	right..sqrt() returns a *double* value which can not be displayed using %d
Jun 30 00:12:29 <kushal>	s/takes/returns
Jun 30 00:13:06 <_pjp_1>	kushal: ?
Jun 30 00:13:22 *	indradg|dinner is now known as indradg
Jun 30 00:13:35 <kushal>	_pjp_1, not for you, the students said takes, I replaced it with returns 
Jun 30 00:13:42 <kushal>	_pjp_1, sorry to interrupt 
Jun 30 00:13:47 *	Debashree (n=Debashre@61.2.165.135) has joined #dgplug
Jun 30 00:13:55 <_pjp_1>	ï»¿Please replace %d with %f
Jun 30 00:14:16 *	mavu (n=satya@59.178.160.205) has joined #dgplug
Jun 30 00:14:17 <_pjp_1>	and compile->run again
Jun 30 00:14:54 *	mavu is now known as mavu_
Jun 30 00:15:02 <_pjp_1>	does it works now?
Jun 30 00:15:10 <t4num0y_cs3>	!
Jun 30 00:15:18 <_pjp_1>	t4num0y_cs3: yes
Jun 30 00:15:20 <_pjp_1>	?
Jun 30 00:15:22 <ria>	no
Jun 30 00:15:31 <arpita>	no
Jun 30 00:15:36 <t4num0y_cs3>	./samp1.o: Permission denied
Jun 30 00:15:42 <amrita>	no
Jun 30 00:15:43 <kushal>	all students please link it also 
Jun 30 00:15:55 <t4num0y_cs3>	after cc -c samp1.c -lm
Jun 30 00:15:59 <_pjp_1>	what is the error?
Jun 30 00:16:18 <kushal>	t4num0y_cs3, in two different lines 
Jun 30 00:16:19 <t4num0y_cs3>	_pjp_1 :  Permission denied
Jun 30 00:16:27 <kushal>	t4num0y_cs3, two commands
Jun 30 00:16:28 <_pjp_1>	t4num0y_cs3: no, -c does not do linking.
Jun 30 00:16:29 <ria>	not showing error, but the same output
Jun 30 00:16:36 <Soumya>	done
Jun 30 00:16:54 <arpita>	yes still showing 0 as output
Jun 30 00:16:54 <amrita>	same output
Jun 30 00:16:55 <_pjp_1>	ria: remove the old file and try again
Jun 30 00:17:07 <ria>	_pjp_1, i did so
Jun 30 00:17:14 <_pjp_1>	that's strange.
Jun 30 00:17:22 <_pjp_1>	wait a sec..I'll paste it.
Jun 30 00:17:29 <kushal>	ria, please type the steps here 
Jun 30 00:17:56 <kushal>	_pjp_1, please change the nick and identify , I need to pm 
Jun 30 00:18:22 <_pjp_1>	kushal: how do I change nicname?
Jun 30 00:18:34 <kushal>	_pjp_1, /nick _pjp_ 
Jun 30 00:18:50 <kushal>	_pjp_1, then /msg nickserv identify yourpassword 
Jun 30 00:19:21 <ria>	_pjp_1, is it wrong http://rafb.net/p/qMdEuV98.html ?
Jun 30 00:19:25 <_pjp_1>	http://rafb.net/p/HznzXg70.html
Jun 30 00:19:50 <arpita>	kushal, if i change variable n's type from int to float correct output is showing...is that o.k???
Jun 30 00:19:56 <_pjp_1>	ria: you need not change the data type of n.
Jun 30 00:20:09 <ria>	earlier i did so but did not work so i changed _pjp_1
Jun 30 00:20:32 <arpita>	ya me too changed data type and then it is working
Jun 30 00:20:39 <_pjp_1>	it's not wrong..but not necessary cause 9 is an integer.
Jun 30 00:20:53 *	indradg has quit (Remote closed the connection)
Jun 30 00:20:58 <kushal>	ria, and main rever returns float 
Jun 30 00:21:04 <kushal>	s/rever/never 
Jun 30 00:21:47 <ria>	_pjp_1, still the same
Jun 30 00:21:53 <deepak>	_pjp_:again it is showing output as 0
Jun 30 00:22:16 <ria>	_pjp_1, http://rafb.net/p/yHqWux73.html
Jun 30 00:22:16 <kushal>	ria, please type your steps here 
Jun 30 00:22:40 <kushal>	ria, please type your steps here from the writing of the code by vim 
Jun 30 00:22:46 <t4num0y_cs3>	!
Jun 30 00:22:47 <ria>	[ria@rialappy c]$ rm a.out
Jun 30 00:23:08 <ria>	[ria@rialappy c]$ gcc hello.o -lm
Jun 30 00:23:26 <ria>	[ria@rialappy c]$ ./a.out
Jun 30 00:23:29 <kushal>	ria, first create that hello.o as your code changed
Jun 30 00:23:33 <_pjp_1>	ria:  use hello.c
Jun 30 00:23:37 <kushal>	./gcc -c hello.c
Jun 30 00:23:47 <kushal>	I mean $gcc -c hello.c
Jun 30 00:23:49 <_pjp_1>	you changed the source, not hello.o right?
Jun 30 00:23:49 <ria>	ok
Jun 30 00:24:38 <ria>	working
Jun 30 00:24:43 <t4num0y_cs3>	!
Jun 30 00:24:44 <arpita>	kushal, ria my program is running correctly now
Jun 30 00:25:01 <arpita>	kushal, without changing data type of n
Jun 30 00:25:31 *	chacha_chaudhry_ (n=rpmbuild@122.162.66.111) has joined #dgplug
Jun 30 00:25:32 <_pjp_1>	ï»¿folks please note that, you can pass integer to a function which accepts float/double values, but the reverse is not allowed.
Jun 30 00:25:55 <amrita>	    !
Jun 30 00:26:28 <_pjp_1>	that's why sqrt() can accept an integer, but it's return value can not be used with %d in printf().
Jun 30 00:27:51 <t4num0y_cs3>	!
Jun 30 00:27:51 <arpita>	_pjp_1, this implies square root function may accept an integer or floating value as arguement but will return a float type value always?
Jun 30 00:28:22 <_pjp_1>	correct.
Jun 30 00:28:34 <_pjp_1>	t4num0y_cs3:
Jun 30 00:28:36 <_pjp_1>	?
Jun 30 00:28:53 <t4num0y_cs3>	ya i got permission denied error everytime ..
Jun 30 00:29:07 <_pjp_1>	t4num0y_cs3: what are you doing?
Jun 30 00:29:28 <t4num0y_cs3>	#cc -c samp1.c
Jun 30 00:29:42 <t4num0y_cs3>	#cc samp1.c -lm
Jun 30 00:29:49 <_pjp_1>	t4num0y_cs3: Do not work as root user.
Jun 30 00:30:15 <kushal>	t4num0y_cs3, cc sanple1.o -lm
Jun 30 00:30:22 <_pjp_1>	t4num0y_cs3: switch to some other user.
Jun 30 00:30:55 <t4num0y_cs3>	ok ...
Jun 30 00:31:07 *	t4num0y_cs3 has quit ("Leaving")
Jun 30 00:31:32 <kushal>	good boy
Jun 30 00:31:37 <kushal>	_pjp_1, carry on please :)
Jun 30 00:31:44 <_pjp_1>	okay..
Jun 30 00:32:55 <_pjp_1>	there are other useful options of gcc like `-x' to specify source file type, as gcc can also compile c++ sources.
Jun 30 00:33:22 <Soumya>	give one example _pjp_1
Jun 30 00:33:25 *	t4num0y_cs3 (n=T4num0y@117.194.2.152) has joined #dgplug
Jun 30 00:33:53 <_pjp_1>	say: gcc -x c hello.c
Jun 30 00:34:16 <_pjp_1>	or copy hello.c to hello.txt and say: gcc -x c hello.txt
Jun 30 00:34:30 <_pjp_1>	you should get the same a.out file.
Jun 30 00:35:03 <_pjp_1>	this comes handy when a project includes both, C and C++ source files.
Jun 30 00:35:23 *	chacha_chaudhry has quit (Read error: 110 (Connection timed out))
Jun 30 00:35:43 <_pjp_1>	other one is -std to specify the language standard.
Jun 30 00:36:11 <arpita>	gcc -x c hjello.c is not working
Jun 30 00:36:16 <_pjp_1>	C language has more than one published standard so far.
Jun 30 00:36:35 <_pjp_1>	arpita: what happens?
Jun 30 00:37:13 <_pjp_1>	standard C89 is the most widely used and supported standard todate.
Jun 30 00:37:35 <deepak>	!
Jun 30 00:37:47 <t4num0y_cs3>	!
Jun 30 00:38:32 <arpita>	 _pjp_1 ,In function `main':hello.c:: undefined reference to `sqrt returned 1 exit status is the error showing
Jun 30 00:38:46 <_pjp_1>	All C compilers comply with the C89 standard.
Jun 30 00:39:02 <_pjp_1>	arpita: you did not link with -lm
Jun 30 00:39:14 <_pjp_1>	deepak: t4num0y_cs3: ?
Jun 30 00:39:49 <deepak>	[deepak@localhost ~]$ cp hello1.c hello1.txt
Jun 30 00:40:04 <deepak>	i used this as first
Jun 30 00:40:10 <t4num0y_cs3>	same permission denied error ..
Jun 30 00:40:19 <deepak>	my file name is hello1.c
Jun 30 00:40:20 <_pjp_1>	there is also C99 standard, but not all compilers support this, and thus still not portable enough.
Jun 30 00:40:53 <_pjp_1>	t4num0y_cs3: what did you do?
Jun 30 00:40:53 <deepak>	[deepak@localhost ~]$ gcc -x c hello1.txt
Jun 30 00:41:50 <kushal>	deepak, link it with -lm
Jun 30 00:42:16 <deepak>	kushal:now it is ok
Jun 30 00:42:21 <t4num0y_cs3>	$ cc -c hello.c
Jun 30 00:42:23 <t4num0y_cs3>	$ cc -lm hello.c
Jun 30 00:42:36 <Soumya>	_pjp_1, can we directly do gcc -x hello.txt
Jun 30 00:42:39 <t4num0y_cs3>	also $ cc -lm hello.o
Jun 30 00:42:41 <Soumya>	to get a.out ??
Jun 30 00:43:07 <t4num0y_cs3>	no i got hello.o
Jun 30 00:43:10 <_pjp_1>	Soumya: no, -x option asks for source language, and hello.txt is a file-name.
Jun 30 00:44:23 <Soumya>	ok so let any program be in hello.txt we should do gcc -x c hello.txt
Jun 30 00:44:35 <Soumya>	right _pjp_1 ?
Jun 30 00:44:57 <ria>	!
Jun 30 00:45:17 <_pjp_1>	Soumya: not always -x c
Jun 30 00:45:20 <_pjp_1>	ria: ?
Jun 30 00:45:39 <Soumya>	then _pjp_1 ?
Jun 30 00:45:43 <t4num0y_cs3>	_pjp_1 , ?
Jun 30 00:45:46 <ria>	if it combines 2 languages then will it be like gcc -x c c++ <filename> ?
Jun 30 00:46:12 <ria>	is the c for the c language?
Jun 30 00:46:16 <ria>	<eof>
Jun 30 00:46:20 <_pjp_1>	Soumya: I mean, specify the language of the program that is in hello.txt
Jun 30 00:46:45 <_pjp_1>	ria: c++ compiler understands C code, so you can just say -x c++
Jun 30 00:47:20 <Soumya>	ok
Jun 30 00:47:24 <ria>	ok
Jun 30 00:47:30 *	chacha_chaudhry_ is now known as chacha_chaudhry
Jun 30 00:47:39 <ria>	_pjp_1, when there are 2 languages then?
Jun 30 00:47:49 <ria>	other than c and c++?
Jun 30 00:48:02 <ria>	can we use gcc +x?
Jun 30 00:48:14 <_pjp_1>	ria: gcc +x?
Jun 30 00:48:26 <ria>	sorry gcc -x
Jun 30 00:48:56 <_pjp_1>	ï»¿folks there are other useful options like -I -L and -D etc. May be we'll talk about them tomorrow.
Jun 30 00:49:11 <_pjp_1>	for now let's take the questions.
Jun 30 00:49:15 <_pjp_1>	kushal: okay?
Jun 30 00:49:39 <_pjp_1>	ria: two languages in one file?
Jun 30 00:50:09 <ria>	no you were talking of combining 2 languages that's why _pjp_1
Jun 30 00:50:15 <kushal>	_pjp_1, perfect 
Jun 30 00:50:27 <t4num0y_cs3>	!
Jun 30 00:50:31 <ria>	ya its not possible to have to languages in a file
Jun 30 00:50:44 <_pjp_1>	okay guys..let's hit the questions. :)
Jun 30 00:50:46 <_pjp_1>	t4num0y_cs3: ?
Jun 30 00:50:59 <Soumya>	!
Jun 30 00:51:02 <_pjp_1>	Soumya: ?
Jun 30 00:51:04 <t4num0y_cs3>	What about this Permission ? what i have to do ?
Jun 30 00:51:21 <_pjp_1>	t4num0y_cs3: I'm sorry, but I don't know what you are doing?
Jun 30 00:51:43 <Soumya>	_pjp_1, what you told in gcc -x c hello.txt was we should specify the language !!
Jun 30 00:52:02 <Soumya>	can you specify by some example and all so that i can get completely
Jun 30 00:52:13 <Soumya>	i have got you , but i need one example
Jun 30 00:52:26 <kushal>	t4num0y_cs3, please type the steps in rafb and give us the link
Jun 30 00:52:34 <kushal>	Soumya, like
Jun 30 00:52:43 <kushal>	there is a file called kus.txt
Jun 30 00:52:58 <kushal>	if inside it C code is there  
Jun 30 00:53:01 <kushal>	then 
Jun 30 00:53:10 <kushal>	gcc -x c kus.txt 
Jun 30 00:53:14 <kushal>	if C++ 
Jun 30 00:53:19 <kushal>	gcc -x c++  kus.txt 
Jun 30 00:53:25 <_pjp_1>	Soumya: the program in hello.txt is written in C, so you say -x c
Jun 30 00:53:37 <kushal>	anyone , any other question ?
Jun 30 00:53:48 <ria>	!
Jun 30 00:53:53 <kushal>	ria, yes
Jun 30 00:54:03 <ria>	why do we need to use it gcc -x?
Jun 30 00:54:05 <_pjp_1>	otherwise you could say -x c++ or -x ada or -x assembler etc.
Jun 30 00:54:10 <ria>	when is it needed
Jun 30 00:54:17 <ria>	?
Jun 30 00:54:24 <ria>	<eof>
Jun 30 00:54:32 <_pjp_1>	ria: it's not always necessary, but sometimes useful.
Jun 30 00:54:34 <arpita>	!
Jun 30 00:54:34 <kushal>	ria, like in a project you wrote files in C and C++ also (different files)
Jun 30 00:54:50 <kushal>	ria, so then compiling each you can specify which language 
Jun 30 00:54:53 <kushal>	arpita, yes 
Jun 30 00:55:02 <ria>	kushal, are there 2 files one with c and other c++?
Jun 30 00:55:13 <_pjp_1>	Soumya: ?
Jun 30 00:55:28 <kushal>	ria, yes, (example )
Jun 30 00:55:38 <ria>	ok kushal
Jun 30 00:55:41 <Soumya>	got it _pjp_1 , thank you
Jun 30 00:55:50 <kushal>	t4num0y_cs3, there ?
Jun 30 00:55:51 <arpita>	Kishan, gcc -x c hello.c is not working
Jun 30 00:56:02 <ria>	everything clear :)
Jun 30 00:56:02 <kushal>	arpita, no, see the error
Jun 30 00:56:03 *	amrita_ (n=amrita@117.201.96.85) has joined #dgplug
Jun 30 00:56:22 <t4num0y_cs3>	http://rafb.net/p/abIepp48.html
Jun 30 00:56:22 <kushal>	arpita, and try to remember how you solved that error couple of minutes bac k
Jun 30 00:56:30 *	amrita has quit (Nick collision from services.)
Jun 30 00:56:35 <kushal>	who is a ?
Jun 30 00:56:39 *	amrita_ is now known as amrita
Jun 30 00:56:56 <arpita>	In function `main':
Jun 30 00:56:56 <arpita>	 hello.c:(.text+0x45): undefined reference to `sqrt'
Jun 30 00:56:56 <arpita>	 collect2: ld returned 1 exit status
Jun 30 00:57:10 <kushal>	t4num0y_cs3, in the second step you are supposed to link the object file not the source
Jun 30 00:57:12 <kushal>	hello.o 
Jun 30 00:57:15 <_pjp_1>	t4num0y_cs3: hello.o is not executable file.
Jun 30 00:57:32 <kushal>	arpita, please use http://rafb.net/paste from now on
Jun 30 00:57:41 <arpita>	Kishan, o.k
Jun 30 00:57:45 <arpita>	kushal, o.k
Jun 30 00:57:48 <kushal>	arpita, see at the beginning of the class you got this error 
Jun 30 00:57:49 <ria>	arpita, use gcc -c -x
Jun 30 00:57:59 <ria>	arpita, it will work then
Jun 30 00:57:59 <kushal>	arpita, ^^ 
Jun 30 00:58:50 <kushal>	a, who are you ?
Jun 30 00:59:01 <t4num0y_cs3>	_pjp_1 , then which one is executable file ? i mean how can i run it ?
Jun 30 00:59:02 <ria>	kushal, will the link be done in the same way after using gcc -c -x?
Jun 30 00:59:10 <kushal>	ria, yes, correct 
Jun 30 00:59:19 <kushal>	ria, gcc hello.o -lm
Jun 30 00:59:37 <ria>	ya ok kushal
Jun 30 00:59:48 <t4num0y_cs3>	kushal , http://rafb.net/p/FXMuZZ70.html
Jun 30 00:59:59 <_pjp_1>	t4num0y_cs3: a.out or what ever you named it using -o option.
Jun 30 01:00:01 *	a has quit (Read error: 104 (Connection reset by peer))
Jun 30 01:00:09 <kushal>	t4num0y_cs3, run ./a.out 
Jun 30 01:00:27 <kushal>	t4num0y_cs3, gcc hello.o -lm will create a.out as executable 
Jun 30 01:01:07 <amrita>	kushal, previously when we did the hello world programme we used a single command to execute and it worked but in sqrt case it is not why?
Jun 30 01:01:28 <kushal>	amrita, because _pjp_1 mentioned to do the same in two steps
Jun 30 01:01:37 <kushal>	amrita, scroll back and read 
Jun 30 01:01:50 <amrita>	kushal, yes that's ok
Jun 30 01:02:05 <kushal>	:)
Jun 30 01:02:10 <kushal>	any other question 
Jun 30 01:02:36 <amrita>	kushal, but if  i want to do in single command should it work?
Jun 30 01:02:44 <kushal>	amrita, yes
Jun 30 01:02:53 <deepak>	no every thing clear
Jun 30 01:02:57 <_pjp_1>	deepak: ?
Jun 30 01:03:00 *	clover123 (n=chatzill@117.197.16.83) has joined #dgplug
Jun 30 01:03:09 <kushal>	clover123, who are you ?
Jun 30 01:03:22 *	clover123 has quit (Client Quit)
Jun 30 01:03:24 <amrita>	kushal, the command would be gcc -o hello hello.c?
Jun 30 01:03:30 <kushal>	amrita, no 
Jun 30 01:03:34 <deepak>	_pjp_:whatever u told
Jun 30 01:03:38 <kushal>	amrita, you forgot to link 
Jun 30 01:03:44 <kushal>	deepak, what is *u* ?
Jun 30 01:03:57 <kushal>	deepak, like *a* ? 
Jun 30 01:04:04 *	pushkal_ (n=chatzill@117.197.16.83) has joined #dgplug
Jun 30 01:04:13 <kushal>	deepak, type in English language please 
Jun 30 01:04:14 *	pushkal has quit (Nick collision from services.)
Jun 30 01:04:16 *	pushkal_ is now known as pushkal
Jun 30 01:04:20 <deepak>	kushal:ok
Jun 30 01:04:40 <deepak>	_pjp_:whatever you told
Jun 30 01:04:41 <kushal>	next class is in 5 minutes 
Jun 30 01:04:44 <ria>	!
Jun 30 01:04:49 <_pjp_1>	ria: ?
Jun 30 01:04:49 <kushal>	ria, yes please 
Jun 30 01:05:17 <ria>	after linking can gcc -o be done?
Jun 30 01:05:29 <ria>	to change a.out?
Jun 30 01:05:36 <ria>	<eof>
Jun 30 01:05:36 <kushal>	_pjp_1, I am pausing this class, please carry on taking question 
