Jul 02 23:08:45 <rishi>	<--------CLASS STARTS----------->
Jul 03 00:59:49 *	ecntrk has quit (Read error: 104 (Connection reset by peer))
Jul 03 00:59:58 <ria>	rishi, and in hard link deleting one will delete both?
Jul 03 01:00:49 <rishi>	<rishi> $ ln foo bar
Jul 03 01:00:50 <rishi>	 ... then until you do:
Jul 03 01:00:50 <rishi>	 $ rm foo bar
Jul 03 01:00:57 <rishi>	<rishi> ... the file will exist as one name or the other or both.
Jul 03 01:01:45 <rishi>	ria, arpita: Clear?
Jul 03 01:01:53 <ria>	ok
Jul 03 01:02:13 <arpita>	in rm foo bar are we removing the 2 files of the same name or just deleting the link between them?
Jul 03 01:02:16 <rishi>	You can use ls -l to see which file a soft link is pointing to.
Jul 03 01:02:22 <ria>	ln foo bar ... is it a hard link?
Jul 03 01:02:37 <rishi>	ria: Hard link. See documentation.
Jul 03 01:02:40 <ria>	and if we use rm foo , then?
Jul 03 01:02:48 *	Soumya has quit (Read error: 110 (Connection timed out))
Jul 03 01:03:00 <rishi>	arpita: A hard link is not really a "link", its more of an alias or synonym.
Jul 03 01:03:16 <arpita>	o.k
Jul 03 01:03:23 <rishi>	If you delete one, you just remove the alias. The entire file stays with the other alias.
Jul 03 01:04:48 <rishi>	arpita, ria: Clearer now?
Jul 03 01:04:55 <ria>	ok
Jul 03 01:04:58 <ria>	<eof>
Jul 03 01:05:04 <arpita>	yes
Jul 03 01:05:11 *	rishi looks at the clock
Jul 03 01:05:26 *	kushal looks at rishi 
Jul 03 01:05:27 <ria>	1:07 am
Jul 03 01:05:48 <rishi>	2 hours
Jul 03 01:06:15 <rishi>	I wonder how many are still awake.
Jul 03 01:06:21 <kushal>	Roll call
Jul 03 01:06:21 <rishi>	We are left with rm now.
Jul 03 01:06:32 <rishi>	Want to do it now, or in the next class.
Jul 03 01:06:33 <rishi>	?
Jul 03 01:06:33 <deepak>	deepak kumar
Jul 03 01:06:35 <kushal>	emergency rollcall 
Jul 03 01:06:43 <deepak>	deepak kumar
Jul 03 01:06:45 *	Soumya_ has quit (Read error: 110 (Connection timed out))
Jul 03 01:06:46 <arpita>	arpita kapoor
Jul 03 01:06:46 <bose_aritra>	aritra bose
Jul 03 01:06:50 <kushal>	rishi, rest are sleeping 
Jul 03 01:06:56 <khushi>	Khushbu Mohta
Jul 03 01:07:00 <amrita>	amrita mukherjee
Jul 03 01:07:00 <Kishan>	kishan goyal
Jul 03 01:07:17 <sunny_slls>	sunny sharma
Jul 03 01:07:18 <rishi>	Seven awake.
Jul 03 01:07:22 *	bose_aritra is a night crawler
Jul 03 01:07:24 <rishi>	Eight now.
Jul 03 01:07:44 <rishi>	So do you want to do rm now?
Jul 03 01:07:46 <kushal>	hehe
Jul 03 01:07:56 <bose_aritra>	rishi, its seven
Jul 03 01:07:57 <deepak>	rishi:finish rm without any taking queries
Jul 03 01:08:06 <ria>	ria das
Jul 03 01:08:09 <rishi>	Ok. Lets get to rm.
Jul 03 01:08:18 <rishi>	Everybody:
Jul 03 01:08:21 <rishi>	$ man rm
Jul 03 01:08:24 <rishi>	$ info rm
Jul 03 01:08:26 <ria>	sorry for late reply
Jul 03 01:08:26 <Prakhar>	Prakhar Agarwal
Jul 03 01:08:27 <rishi>	$ whatis rm
Jul 03 01:09:19 <rishi>	So if I have a file /tmp/fubar , how will I delete it?
Jul 03 01:09:26 <rishi>	Who can answer?
Jul 03 01:09:35 *	Debashree has quit (Read error: 54 (Connection reset by peer))
Jul 03 01:09:41 <kushal>	lol
Jul 03 01:10:06 *	rishi is waiting
Jul 03 01:10:11 <arpita>	rm fubar
Jul 03 01:10:18 <arpita>	rm tmp
Jul 03 01:10:30 <arpita>	sorry just a wild guess
Jul 03 01:10:46 <bose_aritra>	rm /tmp/fubar
Jul 03 01:10:54 <rishi>	arpita: No wild guesses when you have a Unix system right now.
Jul 03 01:11:02 <bose_aritra>	not sure of?
Jul 03 01:11:03 <rishi>	bose_aritra: Correct.
Jul 03 01:11:08 <deepak>	rishi:rm -r /tmp/fubar
Jul 03 01:11:09 <bose_aritra>	checking if wirking
Jul 03 01:11:21 <bose_aritra>	*working
Jul 03 01:11:25 <Prakhar>	!
Jul 03 01:11:30 <rishi>	deepak: Even better.
Jul 03 01:11:36 <rishi>	Prakhar: Ask.
Jul 03 01:11:43 <arpita>	got it
Jul 03 01:11:58 <Prakhar>	do we require -r if there's only single file to be deleted
Jul 03 01:12:02 *	stephaniewhiting has quit ("ChatZilla 0.9.82.1 [Firefox 2.0.0.14/2008040413]")
Jul 03 01:12:09 <Prakhar>	i doubt!
Jul 03 01:12:21 <Prakhar>	<eof>
Jul 03 01:12:24 <bose_aritra>	^^^^^^ same question
Jul 03 01:12:28 <bose_aritra>	??
Jul 03 01:12:31 <bose_aritra>	<eof>
Jul 03 01:13:16 <rishi>	bose_aritra, Prakhar: Depends on what you mean by a single file since a directory is also a single file. I think you meant a 'regular file', in which case -r is not needed.
Jul 03 01:13:16 *	Debashree (n=Debashre@61.2.164.244) has joined #dgplug
Jul 03 01:13:43 <Prakhar>	yeah, i meant a single regular file
Jul 03 01:13:46 <Prakhar>	thanks
Jul 03 01:13:52 <bose_aritra>	got it
Jul 03 01:13:53 <rishi>	But it would not do any harm to give it. Since the question did mention regular file or directory providing it is safer.
Jul 03 01:14:13 <Debashree>	debashree banerjee
Jul 03 01:14:26 <susenj>	neeraj kumar
Jul 03 01:14:38 <susenj>	sorry replying late
Jul 03 01:14:55 <rishi>	Ok.
Jul 03 01:15:28 <amrita>	rm -i /tmp/fubar
Jul 03 01:15:39 <khushi>	rm --preserve-root /tmp/fubar
Jul 03 01:16:02 <rishi>	khushi: Ok.
Jul 03 01:16:09 *	kushal goes to check man page 
Jul 03 01:16:16 <rishi>	amrita: You will need to provide yes / no after that.
Jul 03 01:16:42 <amrita>	only for removing more than three files
Jul 03 01:16:54 *	indradg_ (n=indradg@59.93.242.105) has joined #dgplug
Jul 03 01:17:23 <rishi>	One word of caution: "take a deep breath and count from one to ten before doing: $ rm -rf *"
Jul 03 01:17:37 <Prakhar>	:)
Jul 03 01:17:52 <rishi>	amrita: -i and -I are different.
Jul 03 01:18:03 <amrita>	ria, otherwise rm -f
Jul 03 01:18:09 <amrita>	oops
Jul 03 01:18:21 <indradg_>	rishi, teaching the young uns to commit suicide??
Jul 03 01:18:28 <Prakhar>	!
Jul 03 01:18:29 <rishi>	Ok. So you must have noticed that most of the options are same for cp, mv, rm, etc..
Jul 03 01:18:30 <amrita>	rishi, i meant I
Jul 03 01:18:50 <rishi>	eg., although -f, -i are interesting, I think we have already covered them.
Jul 03 01:19:01 <rishi>	indradg_: Name please.
Jul 03 01:19:20 <rishi>	amrita: Ok.
Jul 03 01:19:40 <rishi>	Lets take a look at -r or -R or --recursive.
Jul 03 01:19:59 <rishi>	We already know its used to delete directories recursively.
Jul 03 01:20:05 <Prakhar>	!
Jul 03 01:20:13 <rishi>	Now here is an excercise:
Jul 03 01:20:41 *	t4num0y_cs3 (n=Neo@117.194.0.9) has joined #dgplug
Jul 03 01:20:53 <Prakhar>	rishi, !
Jul 03 01:21:03 <rishi>	Prakhar: Ask.
Jul 03 01:21:08 <Prakhar>	"rm -rf *" and "rm-rf /" refers to same thing?
Jul 03 01:21:35 <rishi>	Prakhar: No.
Jul 03 01:21:52 <rishi>	* is a relative path and / an absolute path.
Jul 03 01:21:59 <Prakhar>	ok
Jul 03 01:22:04 <Prakhar>	<eof>
Jul 03 01:22:12 <rishi>	"rm -rf /" is not dangerous if you are not crazy enough to work as the root user.
Jul 03 01:22:33 <kushal>	rishi, which many of them do 
Jul 03 01:22:40 <bose_aritra>	:)
Jul 03 01:22:55 <Prakhar>	:)
Jul 03 01:22:56 <susenj>	like me but not now onwards
Jul 03 01:22:57 <rishi>	But rm -rf * is dangerous because you start off in your home directory, which if blanked will cause a lot of pain.
Jul 03 01:23:12 <rishi>	For all those who are working as root, please do:
Jul 03 01:23:16 <Prakhar>	ok, i get your point
Jul 03 01:23:18 <rishi>	# rm -rf /*
Jul 03 01:23:30 <rishi>	... to learn your lesson.
Jul 03 01:23:48 <kushal>	rishi, nice point ,I should try that 
Jul 03 01:24:02 <rishi>	Now here is an excercise:
Jul 03 01:24:08 <rishi>	$ mkdir foo
Jul 03 01:24:14 <rishi>	$ touch foo/bar
Jul 03 01:24:30 <rishi>	ls -ld foo
Jul 03 01:24:44 <rishi>	$ ls -l foo
Jul 03 01:24:51 <rishi>	$ chmod 100 foo
Jul 03 01:25:01 <rishi>	$ ls -l foo
Jul 03 01:25:12 <rishi>	Any doubts till now? Please try it out.
Jul 03 01:25:39 <rishi>	Now here is the question:
Jul 03 01:25:48 <rishi>	What will happen if I do:
Jul 03 01:25:59 <rishi>	(i) $ ls foo
Jul 03 01:26:04 <rishi>	(ii) rm -rf foo
Jul 03 01:26:15 <rishi>	... try to explain why this is so?
Jul 03 01:26:27 *	rishi waits for an answer
Jul 03 01:27:23 *	chiks has quit ("ChatZilla 0.9.83 [Firefox 3.0/2008052906]")
Jul 03 01:27:36 <rishi>	Please try on the computer for those who are on Unix now.
Jul 03 01:27:59 <bose_aritra>	permission denied
Jul 03 01:28:15 <deepak>	rishi:[root@localhost ~]# ls foo
Jul 03 01:28:16 <deepak>	bar
Jul 03 01:28:16 <deepak>	  
Jul 03 01:28:19 <rishi>	bose_aritra: For (i) or (ii) ?
Jul 03 01:28:38 <bose_aritra>	for both
Jul 03 01:28:44 *	bose_aritra checking again
Jul 03 01:28:45 <susenj>	Permission denied
Jul 03 01:28:46 <deepak>	rishi:'bar' means what
Jul 03 01:28:51 <ria>	ls foo will give bar
Jul 03 01:29:19 <arpita>	!
Jul 03 01:29:32 <arpita>	ls -l foo is showing permission denied
Jul 03 01:29:33 <ria>	2 will remove foo and its contents
Jul 03 01:29:52 <bose_aritra>	[aritra@desktop ~]$ ls -l foo
Jul 03 01:29:53 <bose_aritra>	total 4
Jul 03 01:29:53 <bose_aritra>	-rw-rw-r-- 1 aritra aritra 0 2008-07-03 01:29 bar
Jul 03 01:29:54 <rishi>	arpita: Correct
Jul 03 01:30:06 <rishi>	ria: Wrong
Jul 03 01:30:28 <rishi>	susenj: (i) or (ii) ?
Jul 03 01:30:34 *	sunny_slls has quit ("Leaving")
Jul 03 01:30:43 <rishi>	deepak: bar is a file
Jul 03 01:30:44 <susenj>	both
Jul 03 01:30:49 <rishi>	susenj: Correct
Jul 03 01:31:01 <rishi>	Now why are they giving a permission denied?
Jul 03 01:31:02 <ria>	after rm -rf i cannot see foo
Jul 03 01:31:16 <bose_aritra>	rishi, !
Jul 03 01:31:22 <rishi>	ria: Did you do the chmod?
Jul 03 01:31:30 <rishi>	bose_aritra: Speak.
Jul 03 01:31:32 <arpita>	i and ii both show permission denied
Jul 03 01:31:35 <ria>	no
Jul 03 01:31:35 <bose_aritra>	[aritra@desktop ~]$ mkdir foo
Jul 03 01:31:35 <bose_aritra>	[aritra@desktop ~]$ touch foo/bar
Jul 03 01:31:35 <bose_aritra>	[aritra@desktop ~]$ ls -ld foo
Jul 03 01:31:35 <bose_aritra>	drwxrwxr-x 2 aritra aritra 4096 2008-07-03 01:29 foo
Jul 03 01:31:35 <bose_aritra>	[aritra@desktop ~]$ ls -l foo
Jul 03 01:31:36 <bose_aritra>	total 4
Jul 03 01:31:38 <rishi>	arpita: Correct.
Jul 03 01:31:38 <bose_aritra>	-rw-rw-r-- 1 aritra aritra 0 2008-07-03 01:29 bar
Jul 03 01:31:39 <deepak>	rishi:since x permission is not there
Jul 03 01:31:40 <bose_aritra>	[aritra@desktop ~]$ chmod 100 foo
Jul 03 01:31:42 <bose_aritra>	[aritra@desktop ~]$ ls -l foo
Jul 03 01:31:44 <bose_aritra>	ls: cannot open directory foo: Permission denied
Jul 03 01:31:46 <bose_aritra>	[aritra@desktop ~]$ ls foo
Jul 03 01:31:46 <susenj>	chmod 100 means foo is executable
Jul 03 01:31:48 <bose_aritra>	ls: cannot open directory foo: Permission denied
Jul 03 01:31:50 <bose_aritra>	[aritra@desktop ~]$ rm -rf foo
Jul 03 01:31:54 <bose_aritra>	rm: cannot remove `foo': Permission denied
Jul 03 01:31:57 <bose_aritra>	rishi, am getting this
Jul 03 01:31:58 <kushal>	bose_aritra, EVER HEARD OF http://rafb.net/paste ?
Jul 03 01:32:05 <bose_aritra>	<eof>
Jul 03 01:32:15 <ria>	neither i got permission denied
Jul 03 01:32:19 <bose_aritra>	kushal, sorry for flooding.
Jul 03 01:32:28 <rishi>	bose_aritra: Correct.
Jul 03 01:32:30 <deepak>	rishi:x is needed to enter into as well as delete it
Jul 03 01:32:43 <rishi>	Now I want the reason for the permission denied. Guesses will do,
Jul 03 01:32:55 <rishi>	deepak: The x bit is still on.
Jul 03 01:32:57 <susenj>	chmod 100 means"to make the file executable"
Jul 03 01:33:07 <susenj>	if i am not wron
Jul 03 01:33:09 <rishi>	100 means --x------
Jul 03 01:33:11 <susenj>	*wrong
Jul 03 01:33:17 <susenj>	yes
Jul 03 01:33:25 *	indradg has quit (Connection timed out)
Jul 03 01:33:27 <ria>	ls -ld foo shows me x
Jul 03 01:33:28 <rishi>	susenj: Correct.
Jul 03 01:33:38 <ria>	but not foo
Jul 03 01:33:44 <rishi>	We only removed the read/write.
Jul 03 01:33:49 <ria>	its not executable
Jul 03 01:34:02 <susenj>	so how can one see the contents of an executable
Jul 03 01:34:06 <susenj>	??
Jul 03 01:34:13 <rishi>	ria: What? It has x and its not executable?
Jul 03 01:34:13 <susenj>	its ridiculous
Jul 03 01:34:25 <rishi>	susenj: Why? Do:
Jul 03 01:34:33 <ria>	i am saying about ls -l
Jul 03 01:34:34 <rishi>	$ cat /bin/ls
Jul 03 01:34:40 <deepak>	rishi:x is missing here
Jul 03 01:34:45 <ria>	ls -l foo does not have x
Jul 03 01:34:47 <rishi>	deepak: It can't be.
Jul 03 01:34:49 <susenj>	ls foo will not show anything
Jul 03 01:34:51 <ria>	so not executable
Jul 03 01:34:52 <Prakhar>	rishi, i'm not getting permission denied
Jul 03 01:35:00 <ria>	ls -ld is executable
Jul 03 01:35:04 <susenj>	that's why permission denied
Jul 03 01:35:09 <rishi>	Ok. Today's class is over.
Jul 03 01:35:22 <ria>	rishi, others part in both does not have read write permissions
Jul 03 01:35:34 <susenj>	am i right a little bit,rishi?
Jul 03 01:36:23 <rishi>	susenj: No. It will not show anything and permission denied are the same thing. That is not the reason.
Jul 03 01:36:31 <Prakhar>	rishi, please help.
Jul 03 01:36:45 <rishi>	ria: Yes, so? Keep guessing.
Jul 03 01:36:46 *	coolpyro_rishi has quit (Read error: 104 (Connection reset by peer))
Jul 03 01:36:47 *	t4num0y_cs3 (n=Neo@117.194.0.9) has left #dgplug ("Leaving")
Jul 03 01:36:57 *	coolpyro_rishi (n=chatzill@202.63.119.36) has joined #dgplug
Jul 03 01:37:10 <rishi>	See without read permission you can not list the contents of a directory.
Jul 03 01:37:15 <ria>	rishi, after doing rm -rf i cannot find the folder though
Jul 03 01:37:23 <rishi>	That is why (i) gives a permission denied.
Jul 03 01:37:25 <khushi>	mkdir foo
Jul 03 01:37:40 *	sunny_slls (i=Sunny@117.99.4.204) has joined #dgplug
Jul 03 01:38:00 <deepak>	rishi:ls -ld foo is not giving permission denied why?
Jul 03 01:38:00 <ria>	neither i got permission denied
Jul 03 01:38:16 <rishi>	When we do rm -rf foo, rm tries to read the contents of foo to delete them. It can't read the contents because foo does not have the read bit set.
Jul 03 01:38:20 *	sunny_slls has quit (Client Quit)
Jul 03 01:38:30 <rishi>	That explains (ii).
Jul 03 01:38:50 <rishi>	<--------CLASS ENDS----------->
