Jul 01 22:40:44 <kushal>	<--CLASS STARTED-->
Jul 01 23:56:31 <kushal>	amrita, like software from any other software vendor, may be like apache tomcat 
Jul 01 23:57:28 <kushal>	 next folder is /sbin where we keep special commands for the system admin 
Jul 01 23:57:44 <kushal>	these are only accessible for the root user
Jul 01 23:58:04 <kushal>	it contains commands like reboot , fdisk , 
Jul 01 23:58:49 <kushal>	next is /srv 
Jul 01 23:59:18 <kushal>	this folder is used by the services specific data from the syste, 
Jul 01 23:59:20 <kushal>	system 
Jul 02 00:00:02 <kushal>	you can know more about different services in the sys admin class
Jul 02 00:00:14 <Pramit>	!
Jul 02 00:00:26 <kushal>	Pramit, yes
Jul 02 00:00:39 <Pramit>	what is mean by  "services specific data"
Jul 02 00:01:11 <Pramit>	?
Jul 02 00:01:14 <kushal>	Pramit, you can only understand that if you know what is a service 
Jul 02 00:01:24 <kushal>	beyond our scope for now 
Jul 02 00:01:34 <kushal>	next is /tmp 
Jul 02 00:01:47 <kushal>	where all applications keep temporary files 
Jul 02 00:02:26 <kushal>	It is recommended that while rebooting the system all files in the /tmp should be deleted 
Jul 02 00:02:41 <kushal>	but that depends on the OS
Jul 02 00:02:56 <kushal>	next is another very big place called /usr
Jul 02 00:03:19 *	amrita has quit ("Leaving")
Jul 02 00:03:37 <kushal>	 /usr is readonly data, that means no writing there 
Jul 02 00:03:58 <kushal>	it contains folders like
Jul 02 00:04:10 <kushal>	 bin -- where many common user commands can be found
Jul 02 00:04:32 <kushal>	include -- where we can find all C include files 
Jul 02 00:04:59 <Pramit>	!
Jul 02 00:05:02 <kushal>	lib --- which contains libraries which to be used by particular applications
Jul 02 00:05:26 <kushal>	sbin -- non essential sys admin commands
Jul 02 00:05:51 <kushal>	Pramit, yes
Jul 02 00:05:56 <Pramit>	readonly means readonly for root also?
Jul 02 00:06:26 *	suse_nj is now known as susenj
Jul 02 00:06:55 <kushal>	Pramit, read only means, where no one should write
Jul 02 00:07:16 <kushal>	even root should not write anything there (though root can do anything there )
Jul 02 00:08:22 <kushal>	not /usr/share is architecture independent data, that means data kept here does not depend on your i386 or i686 or PPC arcitecture 
Jul 02 00:08:35 <kushal>	architecture 
Jul 02 00:08:53 <kushal>	so we can find man files there in /usr/share/man 
Jul 02 00:09:06 <kushal>	and some other folders 
Jul 02 00:09:28 <kushal>	there is a folder called /usr/local 
Jul 02 00:09:43 <kushal>	which contains almost same folder structure as root
Jul 02 00:09:46 <Pramit>	"even root should not write anything there (though root can do anything there )" i can not understand this line.
Jul 02 00:10:10 <kushal>	Pramit, root can do anything in any place in the system 
Jul 02 00:10:47 <kushal>	Pramit, in /usr root user also should not write anything unless it is installing/removing any application 
Jul 02 00:11:20 <Pramit>	ok<eof>
Jul 02 00:11:40 *	amrita (n=amrita@117.201.96.183) has joined #dgplug
Jul 02 00:12:02 <kushal>	so if we install a software from source generally it goes to /usr/local as it is meant to be used by the system admin 
Jul 02 00:12:29 <kushal>	next is /var which contains variable data files 
Jul 02 00:12:48 <kushal>	variables means which get changed 
Jul 02 00:13:22 <kushal>	like in /var/log folder all applications keep their log, which changes through out when the system is running 
Jul 02 00:13:46 <kushal>	/var/tmp is again another temporary folder 
Jul 02 00:14:20 <kushal>	 /var/cache keeps application specific cached informations
Jul 02 00:14:25 <kushal>	 /var/cache keeps application specific cached information 
Jul 02 00:14:49 <kushal>	like for fedora systems, yum keeps its cache in /var/cache/yum 
Jul 02 00:15:05 <ecntrk_>	!
Jul 02 00:15:20 <kushal>	ecntrk_, yes please 
Jul 02 00:15:22 <ecntrk_>	is cache is related to swap memory?
Jul 02 00:15:27 <kushal>	ecntrk_, no
Jul 02 00:15:37 <ecntrk_>	like not physical cache.. i guess..
Jul 02 00:15:41 *	Pramit has quit ("ChatZilla 0.9.83 [Firefox 3.0/2008052906]")
Jul 02 00:15:54 <ecntrk_>	is it then only HD space?<eof>
Jul 02 00:16:26 <kushal>	ecntrk_, no, cache for applications, like yum search a rpm first in cache, if found then it installs from there or else it downloads it and then install 
Jul 02 00:16:43 <kushal>	* searches 
Jul 02 00:17:42 <ecntrk_>	no..i'm telling.. is it the hard disk space?<eof>
Jul 02 00:17:49 <kushal>	means ?
Jul 02 00:18:00 <ecntrk_>	where do cache reside?
Jul 02 00:18:12 <kushal>	ecntrk_, /var/cache is a folder in hard disk in the root partition 
Jul 02 00:18:22 <ecntrk_>	in HD or in RAM or in real Cache?
Jul 02 00:18:24 <kushal>	under root var, under var cache 
Jul 02 00:18:29 <ecntrk_>	oh.. I got that..<eof>
Jul 02 00:18:38 <kushal>	ok
Jul 02 00:18:42 <kushal>	questions please 
Jul 02 00:18:47 <ecntrk_>	!
Jul 02 00:18:51 <kushal>	ecntrk_, please
Jul 02 00:18:57 <Prakhar>	!
Jul 02 00:18:59 <ecntrk_>	what about selinux...
Jul 02 00:19:00 <ecntrk_>	?
Jul 02 00:19:06 <ecntrk_>	<eof>
Jul 02 00:19:36 <kushal>	ecntrk_, that is not a part of the FHS yer 
Jul 02 00:19:41 <kushal>	* yet
Jul 02 00:19:41 *	Subhodip has quit (Read error: 104 (Connection reset by peer))
Jul 02 00:19:57 *	Subhodip (n=Subhodip@125.20.11.34) has joined #dgplug
Jul 02 00:20:00 <ria>	!
Jul 02 00:20:01 <ecntrk_>	actually I got a folder under / as selinux..
Jul 02 00:20:05 <ecntrk_>	<eof>
Jul 02 00:20:28 <kushal>	ecntrk_, yes we do have , but that is not part of the standard, please refer to the pdf in topic 
Jul 02 00:20:31 <kushal>	ria, yes 
Jul 02 00:20:40 <ria>	kushal, are these partitions same for all distros?
Jul 02 00:20:45 <ria>	<eof>
Jul 02 00:21:22 <Subhodip>	i guess almost simmilar if not same
Jul 02 00:21:52 <kushal>	ria, what we discussed still now is the Filesystem Standard , so all major GNU/linux distributions follow this structure 
Jul 02 00:22:20 <kushal>	ria, to know more read the pdf and http://en.wikipedia.org/wiki/Filesystem_Hierarchy_Standard
Jul 02 00:23:24 <kushal>	anymore questions /
Jul 02 00:23:24 <kushal>	?
Jul 02 00:23:43 <ria>	kushal, already read the pdf earlier
Jul 02 00:23:58 <kushal>	ria, ok, then you are supposed know it 
Jul 02 00:24:18 <Prakhar>	!
Jul 02 00:24:24 <kushal>	Prakhar, yes 
Jul 02 00:24:33 <Prakhar>	what about /proc
Jul 02 00:24:56 <kushal>	oh I missed it 
Jul 02 00:25:03 <Prakhar>	:)
Jul 02 00:25:39 <kushal>	 /proc is a special system all together 
Jul 02 00:25:46 <kushal>	it is a virtual system 
Jul 02 00:26:06 <kushal>	it gives runtime process informations 
Jul 02 00:26:07 <kushal>	it gives runtime process informations
Jul 02 00:26:09 <kushal>	it gives runtime process information
Jul 02 00:26:12 <kushal>	typo 
Jul 02 00:26:35 <kushal>	like to know your cpu do a cat /proc/cpuinfo 
Jul 02 00:27:09 <kushal>	to know about current memory status read the file /proc/meminfo 
Jul 02 00:27:28 <Prakhar>	!
Jul 02 00:28:04 <arpita>	!
Jul 02 00:28:09 <kushal>	Prakhar, yes
Jul 02 00:28:13 <Prakhar>	so, we can say that System Monitor uses /proc ?
Jul 02 00:28:23 <kushal>	Prakhar, correct :)
Jul 02 00:28:26 <Prakhar>	cool
Jul 02 00:28:30 <kushal>	Prakhar, even commands like free :p
Jul 02 00:28:30 <Prakhar>	<eof>
Jul 02 00:28:35 <Prakhar>	ok
Jul 02 00:28:47 <kushal>	Prakhar, so that means you can write your own system monitor 
Jul 02 00:28:51 <kushal>	aritra, yes 
Jul 02 00:29:02 <Prakhar>	yeah, i was about to say that :)
Jul 02 00:29:02 <Prakhar>	thanks
Jul 02 00:29:16 <kushal>	oh
Jul 02 00:29:20 <kushal>	arpita, yes please
Jul 02 00:29:39 *	kushal is doing real bad TAB Completions 
Jul 02 00:30:17 <kushal>	any other questions ?
Jul 02 00:30:19 <kushal>	anyone ?
Jul 02 00:30:31 <Prakhar>	none from me.
Jul 02 00:30:35 <deepak>	!
Jul 02 00:31:10 <kushal>	deepak, yes 
Jul 02 00:31:20 <deepak>	kushal:please tell about colour coding of files and folders in linux
Jul 02 00:31:48 <kushal>	deepak, still not part of FHS 
Jul 02 00:31:51 <ecntrk_>	!
Jul 02 00:31:54 <kushal>	ecntrk_, yes 
Jul 02 00:32:03 <ecntrk_>	good books on /proc
Jul 02 00:32:21 <kushal>	ecntrk_, google :)
Jul 02 00:32:27 <Prakhar>	:)
Jul 02 00:32:33 <deepak>	kushal:do take this  question at end
Jul 02 00:32:43 <ecntrk_>	yes.. I alws stfw.. bt. u suggest some...
Jul 02 00:32:47 <ecntrk_>	<eof>
Jul 02 00:33:04 <kushal>	deepak, depends on the system or color scheme you are using , no such specific 
Jul 02 00:33:32 <ecntrk_>	*you
Jul 02 00:33:34 <kushal>	ecntrk_, please write in *English* 
Jul 02 00:33:39 <ecntrk_>	sorry<eof>
Jul 02 00:33:42 <kushal>	ecntrk_, please write in *English* 
Jul 02 00:33:44 <deepak>	kushal:from where i can change the scheme?
Jul 02 00:34:04 <kushal>	deepak, see which ever Konsole or terminal preferences 
Jul 02 00:34:12 <ecntrk_>	I always STFW.. but you suggest some...<eof>
Jul 02 00:34:46 <kushal>	ecntrk_, no idea, I just google when ever I require about to any particular file under /proc 
Jul 02 00:34:58 <kushal>	ecntrk_, good things are not in book :p
Jul 02 00:35:10 <ecntrk_>	ok.. so getting back to STFW..:)<eof>
Jul 02 00:35:14 *	stephaniewhiting (n=chatzill@65.89.170.203) has joined #dgplug
Jul 02 00:35:44 <kushal>	ecntrk_, we prefer RTFM :)
Jul 02 00:35:54 <kushal>	ok
Jul 02 00:35:57 <kushal>	then 
Jul 02 00:36:06 <kushal>	<-- CLASS OVER -->
