Jun 27 19:02:30 <kushal>	----- Session starts ----
Jun 27 20:22:44 <mbuf>	but, you shouldn't ping members or mentors who are at work during weekdays;
Jun 27 20:22:54 <mbuf>	if they are free, you can ping them for a discussion; otherwise, don't
Jun 27 20:23:06 <mbuf>	you can send e-mail, or update your blog, or update a wiki page;
Jun 27 20:23:13 <mbuf>	that is why we have different tools;
Jun 27 20:23:21 <mbuf>	--> #62
Jun 27 20:23:39 <mbuf>	whenever you have a problem, try to give detailed reports of your problem;
Jun 27 20:24:05 <mbuf>	writing a bug report is an art! it is good to provide explanation on what you did, how you did it; paste output of error or log messages
Jun 27 20:24:16 <mbuf>	you can even give screenshots;
Jun 27 20:24:25 <mbuf>	it must be as detailed that anyone should be able to reproduce your problem;
Jun 27 20:24:32 <mbuf>	--> #63
Jun 27 20:24:34 <parthachowdhury>	!
Jun 27 20:24:39 <mbuf>	parthachowdhury: shoot!
Jun 27 20:24:48 *	sa111 (i=3b601631@gateway/web/freenode/x-786230b53a12a933) has joined #dgplug
Jun 27 20:25:00 <parthachowdhury>	i think taking a session on filing bug report is good
Jun 27 20:25:07 <parthachowdhury>	*would be
Jun 27 20:25:21 <mbuf>	parthachowdhury: yes, that has been proposed earlier; we can look into it;
Jun 27 20:25:45 <kopecks>	!
Jun 27 20:25:50 <mbuf>	kopecks: yes
Jun 27 20:26:15 <kopecks>	how about a thought on LIRC-linux infrared remote control?
Jun 27 20:26:26 <mbuf>	kopecks: what about that?
Jun 27 20:27:09 <kopecks>	i went through a site maintained by redhat where it was speaking of such a concern
Jun 27 20:27:16 <mbuf>	kopecks: that is off-topic to the discussion we are having; we can discuss that later;
Jun 27 20:27:25 <kopecks>	wanting to upload suchlike driver in the linux kernel
Jun 27 20:27:34 <kopecks>	okay thanks
Jun 27 20:27:48 <mbuf>	kopecks: no, that is off-topic to the discussion; only ask questions relevant questions;
Jun 27 20:28:02 <mbuf>	On slide #63
Jun 27 20:28:03 <kopecks>	yes ill do so next time
Jun 27 20:28:10 <mbuf>	Time is precious;
Jun 27 20:28:33 <mbuf>	everything in this world runs on time, except in India (Mumbai is an exception)
Jun 27 20:28:48 <spechard>	!
Jun 27 20:28:57 <mbuf>	So, coming to meetings on time is very important; replying to queries promptly is important
Jun 27 20:28:59 <mbuf>	spechard: shoot!
Jun 27 20:29:01 <spechard>	why 'except in India' ?
Jun 27 20:29:16 <spechard>	are you guys always on late? eof
Jun 27 20:29:17 <mbuf>	spechard: IST is jokingly called Indian Stretchable Time
Jun 27 20:29:28 <spechard>	ok :-)
Jun 27 20:29:34 <mbuf>	spechard: people don't follow time; you will know when you are in India;
Jun 27 20:30:01 <mbuf>	spechard: Mumbai trains are punctual; life in Mumbai runs on time; that is why it is exceptional;
Jun 27 20:30:16 <spechard>	ok, cultural thing ;-)
Jun 27 20:30:18 <mbuf>	spechard: people in India, in general, don't value 'time as money'
Jun 27 20:30:31 <mbuf>	spechard: it is more of a habit, than a culture thing;
Jun 27 20:31:04 <mbuf>	so if one loses time, it cannot be undone! so make sure you use the best use of your precious time;
Jun 27 20:31:13 <mbuf>	--> #64
Jun 27 20:31:30 <mbuf>	if an online meeting is scheduled and you are unable to attend the same, please inform!
Jun 27 20:31:36 <mbuf>	even if you are not able to finish a task on time, inform!
Jun 27 20:32:00 <mbuf>	'commit early, commit often' is the key;
Jun 27 20:32:11 <mbuf>	--> #65
Jun 27 20:32:33 *	akuscifi007_ (n=akuscifi@122.162.82.80) has joined #dgplug
Jun 27 20:32:36 <mbuf>	when discussing in chat, if you are asking a question, put a question mark at the end;
Jun 27 20:32:50 <mbuf>	otherwise I or others will not know that you are asking a question, and are expecting a reply from us;
Jun 27 20:33:02 <mbuf>	simple mistakes, but, people make it;
Jun 27 20:33:08 <mbuf>	--> #66
Jun 27 20:33:12 <mbuf>	--> #67
Jun 27 20:33:32 <mbuf>	mentors will not do the project for you; they can guide you or give directions;
Jun 27 20:33:40 <mbuf>	it is up to you to take the effort to get work done;
Jun 27 20:33:56 <mbuf>	I was once asked by a student to do all these for his college work;
Jun 27 20:34:08 <mbuf>	I did each one, just to see if he would do the rest;
Jun 27 20:34:13 <mbuf>	but, that just didn't happen;
Jun 27 20:34:37 <mbuf>	the more effort you put in, the more you learn, and it is good for you;
Jun 27 20:34:41 <mbuf>	--> #68
Jun 27 20:34:56 <mbuf>	always start with small tasks, and ask for feedback
Jun 27 20:35:09 <mbuf>	it is good to correct mistakes at an early stage and fix it;
Jun 27 20:35:21 <mbuf>	that is why last minute studying for exams is students fooling themselves;
Jun 27 20:35:37 <mbuf>	commit early code to the project, even if it is small; it shows your capability;
Jun 27 20:35:48 <mbuf>	it also gives you confidence;
Jun 27 20:35:52 <mbuf>	--> #69
Jun 27 20:36:07 <mbuf>	you can blog your daily work; that is the best!
Jun 27 20:36:22 <mbuf>	sending updates often is important so others' know your progress and work done;
Jun 27 20:36:48 <mbuf>	so if you send code just before the deadline and the customer doesn't like it, you are in a mess;
Jun 27 20:36:55 <mbuf>	--> #70
Jun 27 20:37:03 *	akuscifi007 has quit (Read error: 60 (Operation timed out))
Jun 27 20:37:17 <mbuf>	Most of the things we have discussed may seem new to you;
Jun 27 20:37:27 <mbuf>	because you haven't seen anything like this, before (maybe)
Jun 27 20:37:39 <mbuf>	so it will be a steep learning curve for you;
Jun 27 20:37:50 <mbuf>	so steep that you will complain, be angry about why things are not working;
Jun 27 20:38:08 <mbuf>	because the methodology teaches you to work efficiently which you probably haven't followed before;
Jun 27 20:38:26 *	akuscifi007_ is now known as akuscifi007
Jun 27 20:38:28 <mbuf>	you will bang your head before the computer, but, it is important for you to be patient and work hard;
Jun 27 20:38:42 <mbuf>	only then you will find the answers, you will understand, and you will learn how things work;
Jun 27 20:38:51 <mbuf>	because, when you do, you will reach enlightenment!
Jun 27 20:38:58 <mbuf>	--> #71
Jun 27 20:39:13 <mbuf>	Always give detailed info as possible;
Jun 27 20:39:24 <mbuf>	these have been one of many instances posted to mailing list groups;
Jun 27 20:39:27 <mbuf>	--> #72
Jun 27 20:39:46 <mbuf>	so when you have problem, it is always good to answer questions like what? ho? which? etc.
Jun 27 20:39:54 <mbuf>	this is technical writing and communication
Jun 27 20:39:57 <mbuf>	--> #73
Jun 27 20:40:05 <mbuf>	yet another of those examples!
Jun 27 20:40:13 <mbuf>	--> #74
Jun 27 20:40:27 <mbuf>	whenever you complete a task, you should immediately document it;
Jun 27 20:40:33 <mbuf>	commit early is not just for code, but, also for documentatio
Jun 27 20:40:36 <mbuf>	*documentation
Jun 27 20:41:08 <mbuf>	if I found out how to use IRC in X-Chat, I will immediately write a document with screenshots on how to start, login, add settings;
Jun 27 20:41:28 <mbuf>	and upload it to HOWTOs or to my blog, so it is useful for me and for others, in future;
Jun 27 20:41:43 <mbuf>	it could be as simple as using a ls command with options;
Jun 27 20:42:05 <mbuf>	this is very, very important that you document step-by-step as you work, rather than documenting at the end of the project
Jun 27 20:42:19 <mbuf>	because by the end of the project, you would have forgotten what you did at every step!
Jun 27 20:42:50 <mbuf>	you have to follow this strictly, because, this is the way we commit early (code and documentation) and we commit often;
Jun 27 20:43:13 <mbuf>	if you do work on a Friday, go for vacation to Las Vegas for the weekend, you will forget what you did on Friday :)
Jun 27 20:43:24 <mbuf>	that is where the documentation on Friday helps to refresh your memory;
Jun 27 20:43:30 <mbuf>	--> #75
Jun 27 20:43:45 <mbuf>	when we ask questions, say five of them, make sure you reply to all five questions;
Jun 27 20:44:04 <mbuf>	people sometimes tend to skip reading sentences;
Jun 27 20:44:28 <mbuf>	it is very important to read slowly and understand before replying; this habit also needs to be inculcated in reading andn following HOWTOs
Jun 27 20:44:42 <mbuf>	because if you miss a step in a HOWTO, you will not end with the expected output;
Jun 27 20:44:49 <mbuf>	--> #76
Jun 27 20:45:07 <mbuf>	when things start to work, and you reach enlightenment very fast you tend to become over-excited;
Jun 27 20:45:18 <mbuf>	it is important to be calm and composed while you work;
Jun 27 20:45:29 <mbuf>	impatience is not going to help you or the team in making decisions;
Jun 27 20:45:40 <mbuf>	--> #77
Jun 27 20:45:53 <mbuf>	if you wish to do something, always consult with your team members
Jun 27 20:46:10 <mbuf>	usually projects have mailing lists, so you can participate in it
Jun 27 20:46:22 <mbuf>	but, if it is a small team, make sure you send e-mail to all of them;
Jun 27 20:46:33 <mbuf>	the last thing you want is to lose trust with your team members;
Jun 27 20:46:39 <mbuf>	--> #78
Jun 27 20:46:49 <mbuf>	people do move in and out of projects; it is very normal human tendency
Jun 27 20:47:02 <mbuf>	so just because you lose few developers, don't be put down with it; you can find new developers
Jun 27 20:47:08 <mbuf>	it is hard though to build a good team;
Jun 27 20:47:15 <mbuf>	and also to sustain it;
Jun 27 20:47:35 <mbuf>	but, with Free Software, people have been together because they share ideals and thoughts;
Jun 27 20:47:41 <mbuf>	--> #79
Jun 27 20:48:05 <mbuf>	"Me and my friend ate in the same plate, went to the same school, went to the same college, can he/she also join the project"?
Jun 27 20:48:29 <mbuf>	as much as we are social and helpful, we also value technical competence;
Jun 27 20:48:48 <mbuf>	so, yes, if your friend is also interested in the project; but, you shouldn't make your friend do all the work with you sitting idle
Jun 27 20:48:58 <mbuf>	that is why commit logs are useful;
Jun 27 20:49:04 <mbuf>	--> #80
Jun 27 20:49:12 <mbuf>	"How much salary are you getting, Sir?"
Jun 27 20:49:21 <mbuf>	don't ask personal questions; it is none of your business;
Jun 27 20:49:31 <mbuf>	by social, talking on general subjects is fine;
Jun 27 20:49:36 <mbuf>	--> #81
Jun 27 20:49:47 <mbuf>	I have emphasized this earlier;
Jun 27 20:49:56 <parthachowdhury>	!
Jun 27 20:50:00 <mbuf>	parthachowdhury: shoot!
Jun 27 20:50:07 <parthachowdhury>	what is PITA ?
Jun 27 20:50:33 <mbuf>	parthachowdhury:  Pain In The Back (said it nicely)
Jun 27 20:50:33 *	akuscifi007 has quit (Read error: 104 (Connection reset by peer))
Jun 27 20:51:02 *	akuscifi007 (n=akuscifi@122.162.82.80) has joined #dgplug
Jun 27 20:51:08 <mbuf>	parthachowdhury: you are to use a search engine for that :)
Jun 27 20:51:22 <mbuf>	--> #82
Jun 27 20:51:25 <parthachowdhury>	ok ...ok.. i just googled it :)
Jun 27 20:51:34 <mbuf>	parthachowdhury: enlightenment, already?
Jun 27 20:51:35 *	akuscifi007 has quit (Read error: 104 (Connection reset by peer))
Jun 27 20:51:54 <parthachowdhury>	:)
Jun 27 20:52:03 *	akuscifi007 (n=akuscifi@122.162.82.80) has joined #dgplug
Jun 27 20:52:09 <mbuf>	so never make any assumptions, like, this might work, or maybe that is wrong;
Jun 27 20:52:18 <mbuf>	always give proof when you make statements;
Jun 27 20:52:40 <mbuf>	that is why steps to reproduce a bug are important;
Jun 27 20:52:50 <mbuf>	logs, output, error messages are crucial;
Jun 27 20:52:58 <mbuf>	--> #83
Jun 27 20:53:20 <mbuf>	the last thing that you want is to do something which you think is right, but, customer expects something totally different;
Jun 27 20:53:33 *	abhishekg (n=chatzill@123.236.112.122) has joined #dgplug
Jun 27 20:53:41 <mbuf>	never ever thing that a question is stupid or silly;
Jun 27 20:53:53 <mbuf>	do some research online by yourself, and try to find answers, else, ask;
Jun 27 20:54:15 <mbuf>	even when you ask you can say that I searched here and here, these were the results I got, I asked on IRC etc.
Jun 27 20:54:24 <mbuf>	the more info you give, the more interested people will be to help you
Jun 27 20:54:30 <mbuf>	--> #84
Jun 27 20:54:41 <mbuf>	Fedora project has lot of sub-projects that you can contribute to;
Jun 27 20:54:49 <mbuf>	we will go through them briefly;
Jun 27 20:55:01 <mbuf>	most of them are quite self-explanatory, and the wiki is well documented;
Jun 27 20:55:09 <mbuf>	--> #85
Jun 27 20:55:24 <mbuf>	to become a member, some tasks which you should complete;
Jun 27 20:55:44 <mbuf>	Just follow them; if in doubt you can ask in various #fedora channels
Jun 27 20:55:53 <mbuf>	or for now you can use #dgplug as well
Jun 27 20:56:03 <mbuf>	--> #86
Jun 27 20:56:25 <mbuf>	in each page you will see links to mailing list, IRC channel and wiki page for each sub-project
Jun 27 20:56:44 <mbuf>	Ambassadors promote Fedora; they help taking Fedora to different regions;
Jun 27 20:57:09 *	priya has quit ("Ex-Chat")
Jun 27 20:57:11 <mbuf>	if you like traveling this is a good task
Jun 27 20:57:20 <mbuf>	--> #87
Jun 27 20:57:31 <mbuf>	some salient points of Fedora Ambassadors;
Jun 27 20:57:40 <mbuf>	--> #88
Jun 27 20:58:03 <mbuf>	if you are interested in art work; if you are creative you can use many Free Software tools available for design work;
Jun 27 20:58:17 <mbuf>	contribution need not necessarily be code;
Jun 27 20:58:30 <mbuf>	--> #89
Jun 27 20:59:08 <mbuf>	If you have the skill to solve problems; or attack challenging problems, you can work on solving bugs;
Jun 27 20:59:19 <mbuf>	you will need to create an account in bugzilla.redhat.com
Jun 27 20:59:25 <mbuf>	--> #90
Jun 27 20:59:41 <mbuf>	you could also try to reproduce bugs and see if that is the same as what has been reported;
Jun 27 20:59:57 <mbuf>	this is a good exercise to begin with for newbies;
Jun 27 21:00:04 <mbuf>	--> #91
Jun 27 21:00:25 <mbuf>	if your written language (any language) skills are good, you could do documentation;
Jun 27 21:00:32 <mbuf>	but, writing documentation, IMO, is an art;
Jun 27 21:00:49 <mbuf>	writing documentation on a daily basis on your work is a must;
Jun 27 21:01:09 <mbuf>	there are various tools available that you can use; i like LaTeX and asciidoc;
Jun 27 21:01:20 <mbuf>	--> #92
Jun 27 21:01:44 <mbuf>	if you are the System Administrator type, and you like to maintain servers, troubleshoot networks, you can look into Infrastructure
Jun 27 21:01:51 <mbuf>	scripting know-how is a good asset here;
Jun 27 21:01:58 <mbuf>	--> #93
Jun 27 21:02:29 <mbuf>	This involves mechanisms to provide support for software to use regional languages;
Jun 27 21:02:47 <mbuf>	when programmers write code, it is important that it can be used with different natural languages;
Jun 27 21:02:53 <mbuf>	--> #94
Jun 27 21:03:06 <mbuf>	The task of translating strings from one natural language to another is localization;
Jun 27 21:03:22 <mbuf>	in developing countries, people are not comfortable with English, so teaching them in regional language helps;
Jun 27 21:03:41 <mbuf>	for that matter, translating this presentation in a regional language is also helpful :)
Jun 27 21:03:48 <mbuf>	--> #95
Jun 27 21:04:08 <mbuf>	if you are good at marketing work, you can work with Fedora Ambassadors;
Jun 27 21:04:27 <mbuf>	traveling may be required; or you can just prepare the material for others;
Jun 27 21:04:30 <mbuf>	--> #96
Jun 27 21:04:59 <mbuf>	Package maintainers are important for the Fedora distribution; they take Free Software packages and add it to the Fedora repository;
Jun 27 21:05:06 <mbuf>	I will focussing on this as a separate session;
Jun 27 21:05:25 <mbuf>	this helps you in learning to work with other Fedora developers, and also understanding how this packaging works;
Jun 27 21:05:54 <mbuf>	Even if you develop your own Free Software, you will understand how to package it, and release it for your customers with Fedora;
Jun 27 21:05:58 <mbuf>	--> #97
Jun 27 21:06:16 <mbuf>	if you are creative and like website designing, you can contribute to the Fedora web pages;
Jun 27 21:06:34 <mbuf>	it is not only CSS work, but, also could be managing content;
Jun 27 21:06:37 <mbuf>	--> #98
Jun 27 21:06:59 <mbuf>	If your written/spoken language skills are good, you can contribute to weekly news;
Jun 27 21:07:08 <mbuf>	or you can work on podcasts and interviews;
Jun 27 21:07:28 <mbuf>	can work closely on updates from various Fedora projects;
Jun 27 21:07:31 <mbuf>	--> #99
Jun 27 21:07:58 <mbuf>	so choose the work that you like based on your 'interest' and you feel there is a 'need' for you to work on it;
Jun 27 21:08:19 <mbuf>	even if you are not sure, you could try your hands on one; but, try to finish the task, before you jump to another;
Jun 27 21:08:26 <mbuf>	--> #100
Jun 27 21:08:47 <mbuf>	If you 'want' to do it, you will be able to do it;
Jun 27 21:08:58 <mbuf>	if you don't want to do it, you will not do it;
Jun 27 21:09:14 <mbuf>	Impossible is a word only to be found in the dictionary of fools.
Jun 27 21:09:24 <mbuf>	Thank you very much. This ends the presentation.
Jun 27 21:09:33 <mbuf>	I shall take any questions that you might have regarding the presentation.
Jun 27 21:10:00 <SkyRocknRoll>	!
Jun 27 21:10:09 <mbuf>	SkyRocknRoll: shoot!
Jun 27 21:10:31 <SkyRocknRoll>	is fedora is using any CMS to maintain websites?
Jun 27 21:10:37 <mbuf>	SkyRocknRoll: mediawiki
Jun 27 21:10:58 <SkyRocknRoll>	mbuf: fine <eof>
Jun 27 21:11:46 <mbuf>	ok, I will let you folks review the discussion;
Jun 27 21:11:56 <mbuf>	go through all the links and ask any questions you might have, anytime;
Jun 27 21:13:36 <SkyRocknRoll>	!
Jun 27 21:13:36 *	akuscifi007 has quit (Read error: 104 (Connection reset by peer))
Jun 27 21:13:44 <mbuf>	SkyRocknRoll: yes
Jun 27 21:14:03 *	akuscifi007 (n=akuscifi@122.162.82.80) has joined #dgplug
Jun 27 21:14:18 <SkyRocknRoll>	How can i enter into infrastructure domain? do i need any experience or a fresher is allowed?
Jun 27 21:15:01 <mbuf>	SkyRocknRoll: 1. Check their wiki. 2. Talk to them on #fedora-admin (IIRC) 3. Write to them on their mailing list
Jun 27 21:15:22 <mbuf>	SkyRocknRoll: you should avoid the use of the word 'fresher'
Jun 27 21:15:34 <mbuf>	SkyRocknRoll: it is only used in India; but, Fedora has a global community
Jun 27 21:15:42 <mbuf>	SkyRocknRoll: you can simply say that you are a newbie;
Jun 27 21:16:01 <SkyRocknRoll>	mbuf: thanks i will follow it :)
Jun 27 21:16:01 <mbuf>	SkyRocknRoll: people may not understand the word 'fresher' outside India;
Jun 27 21:17:41 <mbuf>	BRB
Jun 27 21:18:39 <SkyRocknRoll>	mbuf: what is the best way to introduce me in an IRC channel?
Jun 27 21:18:39 <kopecks>	!
Jun 27 21:18:54 *	priya (n=priya@59.180.143.228) has joined #dgplug
Jun 27 21:19:41 <tuxmaniac>	SkyRocknRoll: you dont need to introduce yourself in an IRC channel unless you are in some meeting. If you have doubt on something say "some ruby stuff"
Jun 27 21:20:08 <mbuf>	SkyRocknRoll: name is fine;
Jun 27 21:20:23 <tuxmaniac>	just go to #ruby or something and say "/me is working on thisn and this and facing this problem. tried here and there and couldnt find the solution. Any help is appreciated"
Jun 27 21:20:24 *	akuscifi007 has quit (Read error: 104 (Connection reset by peer))
Jun 27 21:20:35 <mbuf>	SkyRocknRoll: people value technical competency more than who you are, what your designation is, how much years of experience you have, or how much money you have;
